,Route Number,Length in Miles,Length in Kilometers,Year of Formation
0,2,5.5,8.9,1934
1,3,27.0,43.5,2002
2,4,34.7,55.8,1934
3,5,8.3,13.4,1934
4,7,12.1,19.5,1932
5,8,94.6,152.2,1930
6,9,46.5,74.8,1938
7,10,48.3,77.7,1921
8,11,193.2,310.9,1921
9,12,148.0,238.2,1962
10,14,17.1,27.5,1940
11,16,143.8,231.4,1921
12,18,145.5,234.2,1921
13,20,28.6,46.0,1934
14,22,59.4,95.6,1934
15,24,278.0,447.4,1921
16,27,198.0,318.7,1921
17,28,81.2,130.7,1938
18,30,15.0,24.1,1975
19,32,103.5,166.6,1921
20,33,109.6,176.4,1929
21,34,9.2,14.8,1979
22,35,20.5,33.0,1940
23,37,48.3,77.7,1934
24,38,5.5,8.9,1937
25,39,78.6,126.5,1934
26,41,141.1,227.1,1928
27,42,223.3,359.4,1921
28,43,119.8,192.8,1928
29,45,121.7,195.9,1940
30,46,16.9,27.2,1930
31,47,24.3,39.1,1972
32,48,53.5,86.1,1934
33,49,177.8,286.1,1934
34,50,164.2,264.3,1935
35,51,22.2,35.7,1934
36,53,126.7,203.9,1923
37,54,55.0,88.5,1929
38,55,193.0,310.6,1930
39,56,42.8,68.9,1921
40,57,43.2,69.5,1921
41,58,176.0,283.2,1921
42,59,8.3,13.4,1958
43,60,5.1,8.2,1934
44,61,19.7,31.7,1930
45,62,84.4,135.8,1921
46,63,26.9,43.3,1929
47,65,49.0,78.9,1934
48,66,47.0,75.6,1934
49,67,41.3,66.5,1930
50,68,30.8,49.6,1930
51,69,3.9,6.3,1941
52,71,27.1,43.6,1928
53,72,32.9,52.9,1934
54,73,118.5,190.7,1934
55,75,12.8,20.6,1934
56,78,4.6,7.4,1940
57,79,8.7,14.0,1934
58,80,40.1,64.5,1940
59,81,4.2,6.8,1934
60,82,16.0,25.7,1934
61,83,7.3,11.7,1937
62,84,11.5,18.5,1938
63,86,53.4,85.9,1940
64,87,236.8,381.1,1937
65,88,41.3,66.5,1938
66,89,61.1,98.3,1921
67,90,71.5,115.1,1921
68,91,12.2,19.6,1947
69,92,20.7,33.3,1926
70,93,9.9,15.9,1940
71,94,73.3,118.0,1930
72,96,107.0,172.2,1940
73,97,64.4,103.6,1961
74,98,43.7,70.3,1934
75,99,33.0,53.1,1940
76,100,12.0,19.3,1934
77,101,22.2,35.7,1928
78,102,22.3,35.9,1921
79,103,8.3,13.4,1940
80,104,6.0,9.7,1940
81,105,17.7,28.5,1956
82,106,11.2,18.0,1940
83,107,34.8,56.0,1921
84,108,22.0,35.4,1940
85,109,105.9,170.4,1928
86,110,5.5,8.9,1932
87,111,126.2,203.1,1930
88,112,3.6,5.8,1940
89,113,11.2,18.0,1964
90,114,2.6,4.2,1930
91,115,71.3,114.7,1930
92,116,4.1,6.6,1930
93,118,18.5,29.8,1932
94,119,42.9,69.0,1940
95,120,4.7,7.6,1929
96,121,13.1,21.1,1929
97,122,29.4,47.3,1931
98,123,10.2,16.4,1932
99,124,9.2,14.8,1933
100,125,68.7,110.6,1922
101,126,23.0,37.0,1940
102,127,24.6,39.6,1940
103,128,4.6,7.4,1947
104,130,96.0,154.5,1928
105,131,24.5,39.4,1949
106,132,15.3,24.6,1958
107,133,47.4,76.3,1962
108,134,19.1,30.7,1968
109,135,11.5,18.5,1967
110,136,2.2,3.5,2002
111,137,8.6,13.8,1973
112,138,13.6,21.9,1937
113,140,6.5,10.5,2014
114,141,8.7,14.0,1983
115,142,9.2,14.8,1975
116,143,38.3,61.6,1979
117,144,12.0,19.3,2001
118,145,13.6,21.9,1961
119,146,3.5,5.6,1991
120,147,15.7,25.3,1987
121,149,1.2,1.9,1987
122,150,183.2,294.8,1929
123,151,11.83,19.04,1963
124,152,25.5,41.0,1930
125,153,2.9,4.7,1930
126,157,29.3,47.2,1947
127,159,7.3,11.7,1975
128,160,14.9,24.0,1942
129,161,10.6,17.1,1937
130,162,7.5,12.1,2007
131,163,9.1,14.6,1961
132,168,18.3,29.5,1958
133,171,17.2,27.7,1936
134,172,25.2,40.6,1940
135,175,4.1,6.6,1967
136,177,16.1,25.9,1961
137,179,16.2,26.1,1979
138,180,12.0,19.3,1952
139,181,36.2,58.3,1928
140,182,23.3,37.5,1952
141,183,4.5,7.2,1930
142,184,10.3,16.6,1956
143,186,23.4,37.7,1975
144,191,21.6,34.8,1921
145,194,85.4,137.4,1921
146,197,65.0,104.6,1921
147,198,4.3,6.9,1952
148,200,50.1,80.6,1930
149,205,22.0,35.4,1934
150,207,13.0,20.9,1948
151,208,9.1,14.6,1921
152,209,36.6,58.9,1921
153,210,195.0,313.8,1931
154,211,162.5,261.5,1921
155,212,14.2,22.9,1926
156,213,14.9,24.0,1928
157,214,17.00,27.36,1933
158,215,29.0,46.7,1967
159,216,15.7,25.3,1930
160,217,9.8,15.8,1933
161,218,31.6,50.9,1935
162,222,57.8,93.0,1934
163,225,10.6,17.1,1997
164,226,101.0,162.5,1961
165,231,25.4,40.9,1935
166,241,9.4,15.1,1971
167,242,94.2,151.6,1930
168,251,17.5,28.2,1980
169,261,12.8,20.6,1952
170,268,90.3,145.3,1921
171,273,18.8,30.3,1930
172,274,37.1,59.7,1930
173,275,10.7[33],17.2,1930
174,279,28.6,46.0,1979
175,280,18.2,29.3,1931
176,281,36.6,58.9,1930
177,294,13.3,21.4,1931
178,304,15.2,24.5,1923
179,305,44.7,71.9,1921
180,306,45.3,72.9,1930
181,307,1.4,2.3,1930
182,308,52.9,85.1,1933
183,343,25.5,41.0,1930
184,344,21.0,33.8,2006
185,345,4.9,7.9,1921
186,381,10.6,17.1,1940
187,400,0.6,0.97,1985
188,403,25.7,41.4,1932
189,410,39.6,63.7,1936
190,411,28.0,45.1,1937
191,461,19.1,30.7,1964
192,481,21.0,33.8,1937
193,522,5.84,9.40,1951
194,540,16.4,26.4,2008
195,561,101.0,162.5,1925
196,581,71.8,115.6,1933
197,610,2.1,3.4,1930
198,615,14.7,23.7,1963
199,690,19.3,31.1,1999
200,694,6.3,10.1,1932
201,700,18.8,30.3,1934
202,704,38.7,62.3,1930
203,705,26.0,41.8,1932
204,710,20.4,32.8,1935
205,711,11.7,18.8,1952
206,731,25.9,41.7,1936
207,740,12.8,20.6,1930
208,742,35.9,57.8,1936
209,751,23.8,38.3,1930
210,770,29.2,47.0,1930
211,772,10.3,16.6,1933
212,801,53.9,86.7,1928
213,901,19.0,30.6,1930
214,902,24.9,40.1,1930
215,903,200.0,321.9,1934
216,904,67.5,108.6,1937
217,905,20.9,33.6,1958
218,906,12.4,20.0,2016
